English,French,Fulfulde
"Then, I do.",Alors je sais.,
Last update on 2015-08-05 at 18:50Direct access to the forum of this site,Dernière mise à jour le 06/08/2015 à 18:50Accéder au forum du site,
Freddie... very smart.,Freddie... très intelligente.,
None of my business.,C'est pas mes affaires.,
"He came therefore, and took the body of Jesus.","Il vint donc, et prit le corps de Jésus.",
zone where the catch was taken; the zone shall refer to the sub-area and division or sub-division in which catch limits apply pursuant to Community law.,zone où la capture a été prélevée; la zone vise la sous-zone et la division ou la sous-division soumises à des limitations de captures en vertu du droit communautaire.,
"And from all the stories I've heard, your dad was a great leader.","Et d'après ce que j'ai entendu, ton père était un meneur.",
"First, I welcome the excellent Papayannakis report on the framework directive.","Tout d'abord, je me félicite de l'excellent rapport Papayannakis sur la directive-cadre.",
"I think I know, Harrison.","Je pense que je sais, Harrison.",
It's okay.,Ça va aller.,
"Under the Lobbying Act, lobbying is communication by an individual who is paid to communicate with a Designated Public Office Holder on behalf of a person or organization in relation to:","En vertu de la Loi sur le lobbying, le lobbying est la communication entre un individu, moyennant paiement, engagé auprès d'une personne physique ou d'une organisation à communiquer avec un titulaire d'une charge publique désignée au sujet des mesures suivantes :",
Come on.,Allez.,
"And then I hear my dad's voice, like, right here, like... I mean, like I'm wearing headphones.","J'entends la voix de mon père, comme si je portais des écouteurs.",
"In the campaign for Senate, I finished second with 31% of the vote (8,482 votes) against the party-endorsed candidate, who gained 49.5% of the vote, and another candidate, who had 19.5% of the vote.","Dans la campagne pour le Sénat, j'ai fini en second lieu avec 31% de la voix (8.482 voix) contre un candidat partie-approuvé, qui a gagné 49.5% de la voix, et un candidat différent, qui a eu 19.5% de la voix.",
"If the standard will not be met, the proponent will be contacted on the delay.","Si la norme ne peut être respectée, on communiquera avec le promoteur concernant le retard.",
Look at him.,Regardez-le.,
CM A5 You will need to decide if there is any intellectual property created as a result of the Contract.,MC R 5 Vous devrez déterminer si le contrat donne naissance à une propriété intellectuelle.,
"-Call Information,",- Essaie les renseignements.,
He is much happier now that he is following his dreams.,Il est bien plus heureux maintenant qu'il accomplit ses rêves.,
- Understood.,- Compris,
"In a first conference at Georgia Tech, he told us all the secrets about the International Space Station (ISS)that is currently in orbit and inhabited by a team of five astronauts (American, Russian, European, Canadian and Japanese) which is relayed every six months.","Lors d’une première conférence à Georgia Tech, le 28 avril, il nous a confié tous les secrets concernant la Station Spatiale Internationale (ISS) qui est un habitat actuellement en orbite où une équipe de cinq astronautes (américains, russes, européens, canadiens et japonais) se relaye tous les six mois.",
Only one such sentence came to the attention of the Special Representative in the period under review and that was apparently overturned on review.,"Au cours de la période considérée, une seule condamnation à cette peine a été portée à l'attention du Représentant spécial et l'information, après examen, a été infirmée.",
- I'd kind of like that.,- Ça me plaît.,
Time is the key.,Le temps est le plus important.,
Greater economic security. A better standard of living. A stronger quality of life.,"Notre économie devrait assurer des revenus plus élevés, augmenter le pouvoir d'achat, resserrer la sécurité économique, hausser le niveau de vie, garantir une meilleure qualité de vie.",
An Act Respecting Health Professionals.,"Care of Victims of Abuse, Assault and Neglect.",
He loves.,Il aime.,
Enough now! Here are 15 pounds - you won't get one more penny! Not a penny!,Je te prête 15 livres et pas un sou de plus !,
"MEAROW, Karen M","LYTTON, Jonathan",
The CRTC will continue to do everything in its power to combat this threat in the future.,Le CRTC va continuer à faire tout en son pouvoir pour combattre cette menace dans l'avenir.,
Details of the practical training exercises or projects are described within each Lesson Plan.,Les détails relatifs aux exercices ou aux projets de formation pratique sont décrits dans chaque plan de leçon.,
You learn from him.,C'est vous qui apprenez.,
Per the orders of Angelo Marino... ... whowasthreatening... ... toexposeherfather...,Sur ordre d'Angelo Marino... qui menaçait... de dénoncer son père qui avait été à sa solde...,
Each of these is explained below.,Voici quelques détails sur chacun d'eux.,
"In certain circumstances, it may be preferable to leave the cases to the examination of the Court, particularly to avoid compelling the applicant to bear the further burden of having once again to exhaust domestic remedies, which, moreover, would not be in place until the adoption of legislative changes.","Dans certains cas, il peut être préférable de laisser à la Cour le soin d'examiner ces affaires, afin notamment d'éviter d'imposer au requérant la charge supplémentaire de devoir épuiser à nouveau des recours internes qui, de plus, ne pourraient voir le jour qu'après l'adoption de changements législatifs.",
"And if they do that all at once, it's like playing poker and going all in right away.","Et s'ils font ça d'un seul coup, c'est comme jouer au poker et tout miser tout de suite.",
"Thanks, Kylie.","Merci, Kylie.",
"In a globalized world, what happens in rich countries has an impact on developing economies. Yet, there is little discussion of the opportunities and challenges this presents.","Dans une économie mondialisée, les changements qui interviennent dans les pays riches ont un impact sur les pays en voie de développement, mais on ne discute guère des perspectives et des défis que cela représente.",
11/13/2009 - 21:52,11,
Is Clara coming back?,Clara va revenir ?,
"Oh, jeez.","Oh, Jesus.",
Lille '97 Baden '98 Helsinki '99 Paris Copenhagen Athens Dublin '96 Rome,Visibilité et utilisation optimale des Services de Soutien,
"Where's your bathroom? It's in the lobby, but it's out of order.","Dans le hall, mais elles sont hors service.",
"Of these, three felt a lawyer is required, four felt a paralegal could provide any needed representation and assistance, and one suggested that all that is required is someone to provide the claimant with moral support.","Sur ce nombre, trois estimaient qu'il faut un avocat , quatre qu'un parajuriste peut assurer la représentation et fournir l'aide nécessaire, et un a dit qu'il suffisait que quelqu'un fournisse un soutien moral au demandeur.",
"Diana, is this true?","Diana, est-ce que c'est vrai ?",
I'm meeting with a federal prosecutor after you leave.,Je rencontrerais un procureur fédéral après que tu sois parti.,
"Far below and almost lost in relation to the tables, sits a small-scale female figure.","Tout au bas et presque perdue par rapport aux tables, est assise une figurine féminine.",
What's he being paid for?,Pour quoi est-il payé ?,
It's coming up!,Ça vient !,
"Under its chairmanship of the Arctic Council, Canada is advancing the development of a new arrangement on black carbon and methane to address this pressing environmental issue in the Arctic.","Dans le cadre de sa présidence au Conseil de l’Arctique, le Canada fait évoluer l’élaboration d’une nouvelle entente sur le carbone noir et le méthane pour régler le problème environnemental pressant dans l’Arctique.",
So you actually killed Yano.,Il est mort par ta faute.,
"It should be avoided to systematically use alternative wordings, since this may confuse users.","Il convient d'éviter d'utiliser systématiquement des termes de substitution, ce qui pourrait être source de confusion.",
The joint UNIDO/OECD biosafety information resource and databases have been recommended as a model system for the clearinghouse mechanism of the Convention on Biological Diversity.,Les services de documentation et les bases de données sur la prévention des risques biotechnologiques communs à l'ONUDI et à l'OCDE ont été recommandés comme modèle pour le mécanisme d'échange de la Convention sur la diversité biologique.,
The Task Force is headed by an Executive Director who reports directly to the Deputy Minister of Industry Canada.,Ce Groupe est dirigé par une directrice exécutive qui relève directement du sous-ministre de l'Industrie.,
He's an old friend of your Mom's.,C'etait un ami de ta mere.,
"Change the title of item 8 from ""Tariffs for co-location"" to ""Co-location arrangements for interconnecting carriers and digital subscriber line service providers.""",Changer le titre de l'article 8 de «Tarifs de co-implantation et de colocation» à «Co-implantation pour télécommunicateurs interconnectés canadiens et fournisseurs de service DSL ».,
"External food security experts hired in Mozambique, Zimbabweand Malawi","Engagement d’experts externes de la sécurité alimentaire au Mozambique, au Zimbabwe et au Malawi",
"If you are interested and have not been contacted by CIHR, contact Greg Huyer directly.","Si vous souhaitez devenir examinateur, mais que les IRSC n'ont pas pris contact avec vous, communiquez directement avec Greg Huyer.",
Everyone works for the same cause.,Elle doit savoir que les engagements seront respectés.,
"The author claims to be the victim of a violation by Australia of article 14, paragraph 6, of the International Covenant on Civil and Political Rights.",Il affirme être victime d'une violation par l'Australie du paragraphe 6 de l'article 14 du Pacte international relatif aux droits civils et politiques.,
So go ahead.,Alors allez-y.,
"A missionary to the Jews in North Africa by the name of Samuels, reported one of their magic customs.","Un missionnaire auprès des juifs d’Afrique du Nord s’appelant Samuel, rapporta une de leurs coutumes magiques.",
"approving, procuring and managing MWDs and any related services or capabilities;","approuver, d'approvisionner et de gérer les DMSF et tous les services ou capacités connexes;",
